"","Charges"
"586","GRAND THEFT IS $300 OR MORE BUT LESS"
"587","THAN $5000"
"588","FELONY BATTERY"
"589","AGGRAV BATTERY OFFENDR KNEW/SHOULD"
"590","HAVE KNOWN VICT PREGNANT"
"591","SALE OF CANNABIS"
"592","POSSESSION OF CANNABIS WITH INTENT TO"
"593","SELL"
"594","DELIVERY OF CONTROLLED SUBSTANCE"
"595","POSSESSION OF PARAPHERNALIA"
"596","BURGLARY OF STRUCTURE"
"597","GRAND THEFT"
"598","CRIMINAL MISCHIEF (OVER $200 UNDER"
"599","$1000 DAMAGES)"
"600","OUT-OF-LIBERTY COUNTY WARRANT/CASE #"
"601","17-48-MM/ FTA ON POSS OF CANNABIS <20"
"602","GRAMS"
"603","OUT-OF-LIBERTY COUNTY WARRANT/CASE17"
"604","-48MM/ FTA POSS OF DRUG PARAPHERNALIA"
"605","DRUGS-POSSESS POSSESS"
"606","METHAMPHETAMINE"
"607","SMUGGLE CONTRABAND INTRODUCE INTO"
"608","DETENTION FACILITY"
"609","DUI AND DAMAGE PROPERTY OR PERSON OF"
"610","ANOTHER"
"611","DUI ALCOHOL OR DRUGS"
"612","MARIJUANA-POSSESS NOT MORE THAN 20"
"613","GRAMS"
"614","NARCOTIC EQUIP-POSSESS AND OR USE"
"615","DUI ALCOHOL OR DRUGS"
"616","REFUSE TO SUBMIT TO DUI TEST"
"617","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"618","SUSP 1ST OFF"
"619","GRAND THEFT IS $300 OR MORE BUT LESS"
"620","THAN $5000"
"621","VOP/RECKLESS DRIVING 1ST OFF"
"622","TRANSPORT LEON CO/ CASE # 2017 DP80"
"623","HOLD AND RETURN TO DOC/ SANTA ROSA"
"624","CI/ DOC # N12045"
"625","VOP/FTA/DISORDERLY CONDUCT"
"626","TRANSPORT FAVOR/ CHARLOTTE CO/ CASE #"
"627","1559F/ VOP-FLASE INFO TO PAWNBROKER"
"628","HOLD AND RETURN TO DOC/ WALTON CI."
"629","DOC # S34308"
"630","MOVING TRAFFIC VIOL DRIVE LIC SUSP"
"631","COMML VEH 2ND OR SUBSQ OFF"
"632","HOLD FOR VOLUSIA CO/ CASE # 201103165/"
"633","VOP-BURG"
"634","OUT-OF-CALHOUN COUNTY WARRANT/CASE"
"635","# W2018021/ FELONY BATTERY"
"636","OUT-OF-CALHOUN COUNTY WARRANT/CASE"
"637","# W2018021/AGG ASSAULT"
"638","OUT-OF-JEFFERSON COUNTY WARRANT/CASE"
"639","# 17000200CTA/FTA-DWLS ORIGNAL"
"640","OFFENSE"
"641","GRAND THEFT OF  MOTOR VEHICLE"
"642","FTA/VOP/CHILD ABUSE"
"643","REFUSE TO SUBMIT TO DUI TEST"
"644","DUI ALCOHOL OR DRUGS 4TH OR"
"645","SUBSEQUENT OFFENSE"
"646","MOVING TRAFFIC VIOL DRIVE WITH"
"647","SUSPENDED REVOKED LICENSE"
"648","DRUGS-POSSESS POSSESSION OF A"
"649","CONTROLLED SUBSTANCE"
"650","MARIJUANA-POSSESS NOT MORE THAN 20"
"651","GRAMS"
"652","NARCOTIC EQUIP-POSSESS AND OR USE"
"653","FTA/POSSESSION OF CONTROLLED"
"654","SUBSTANCE WITH INTENT TO SELL"
"655","FTA/BATTERY"
"656","FTA/POSSESSION OF PARAPHERNALIA"
"657","BATTERY TOUCH OR STRIKE"
"658","VOP/GRAND THEFT"
"659","TRESPASSING STRUCTURE OR CONVEYANCE"
"660","MARIJUANA-POSSESS WIT SELL MFG DEL WI"
"661","1000 FT WORSHIP/BUSN SCH 1"
"662","NARCOTIC EQUIP-POSSESS AND OR USE"
"663","POSSESSION OF WEAPON OR AMMO BY"
"664","CONVICTED FLORIDA FELON"
"665","VOP/POSSESSION OF FIREARM BY"
"666","CONVICTED FELON"
"667","POSSESSION OF COCAINE"
"668","TRESPASS ON PROPERTY AFTER WARNING"
"669","POSSESSION OF CANNABIS"
"670","BURGL UNOCCUPIED STRUCTURE UNARMED"
"671","GRAND THEFT IS $300 OR MORE BUT LESS"
"672","THAN $5000"
"673","GRAND THEFT OF  MOTOR VEHICLE"
"674","TRESPASSING PROPERTY NOT STRUCTURE"
"675","OR CONVEY"
"676","MARIJUANA-POSSESS WITH INTENT TO SELL"
"677","MFG OR DELIVER SCHEDULE I"
"678","MARIJUANA-POSSESS NOT MORE THAN 20"
"679","GRAMS"
"680","NARCOTIC EQUIP-POSSESS AND OR USE"
"681","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"682","WITHOUT PRESCRIPTION"
"683","MARIJUANA-POSSESS NOT MORE THAN 20"
"684","GRAMS"
"685","NARCOTIC EQUIP-POSSESS AND OR USE"
"686","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"687","SUSP 1ST OFF"
"688","DISCHARGING FIREARM IN PUBLIC"
"689","IMPROPER EXHIBITION OF A DANGEROUS"
"690","WEAPON"
"691","USING FIREARM WHILE UNDER THE"
"692","INFLUENCE"
"693","RESISTING OFFICER WITHOUT VIOLENCE"
"694","GRAND THEFT IS $300 OR MORE BUT LESS"
"695","THAN $5000"
"696","PAROLE VIOLATION/ FL COMM OFF REVIEW/"
"697","CASE # 391778/ PAROLE VIO-"
"698","BURG/DWELLING OCCUPIED CONV"
"699","REFUSE TO SUBMIT TO DUI TEST"
"700","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"701","SUSP 3RD OR SUBSQ OFF"
"702","OUT-OF-HERNANDO COUNTY"
"703","WARRANT/CASE # 2012-2162CF/ VOP-GRAND"
"704","THEFT $300 LESS THAN $5000"
"705","OUT-OF-HERNANDO COUNTY"
"706","WARRANT/CASE # 2012-2162CF/ VOPFRAUD"
"707","USE OF PERSNAL ID"
"708","FTA/VOP/CRIMINAL USE OF PERSONAL"
"709","IDENTIFICATION INFORMATION"
"710","FTA/VOP/FORGERY"
"711","FTA/VOP/UTTERING"
"712","FTA/VOP/GRAND THEFT"
"713","HOLD FOR FLORIDA DEPT. OF CORRECTIONS"
"714","DOC HOLD/ BLACKWATER CI/ DOC # 26844"
"715","FTA/VOP/BATTERY ON LAW ENFORCEMENT"
"716","OFFICER"
"717","DOC HOLD/ BLACKWATER CI/ DOC # 26844"
"718","FTA/VOP/BATTERY ON LAW ENFORCEMENT"
"719","OFFICER"
"720","FTA/POSSESSION OF CONTRABAND AT"
"721","COUNTY DETENTION FACILITY"
"722","FTA/POSSESSION OF CANNABIS"
"723","OUT-OF-POLK COUNTY WARRANT/CASE #"
"724","0017022/FTA-POSS OF CANNABIS LESS THAN"
"725","20"
"726","OUT-OF-POLK COUNTY WARRANT/CASE #"
"727","0017022/FTA-POSS PARAPHERNALIA"
"728","DRIVING WHILE LICENSE SUSPENDED OR"
"729","REVOKED"
"730","DOMV/ROBBERY NO FIREARM OR WEAPON"
"731","FTA/EXPLOITATION OF ELDERLY OR"
"732","DISABLED ADULT (GREATER THAN $20,000)"
"733","FTA/ORGANIZED SCHEME TO DEFRAUD"
"734","($20,000 TO $50,000)"
"735","FTA/GRAND THEFT (OVER $20,000)"
"736","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"737","MOVING TRAFFIC VIOL OPERATE MOTOR"
"738","VEHICLE WO VALID LICENSE"
"739","FTA/GRAND THEFT"
"740","PETIT THEFT THIRD OR SUBSQ OFF"
"741","TRANSPORT FAVOR LEE CO/ CASE #"
"742","04CF016561/COURT HEARING"
"743","HOLD AND RETURN TO DOC/ CENTURY CI"
"744","PAROLE VIOLATION"
"745","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"746","SUSP HABITUTAL"
"747","DUI ALCOHOL OR DRUGS"
"748","DUI ALCOHOL OR DRUGS"
"749","DUI ALCOHOL OR DRUGS"
"750","AGGRAV ASSAULT  W DEADLY WEAPON"
"751","WITHOUT INTENT TO KILL"
"752","TRESPASSING FAIL TO LEAVE PROPERTY"
"753","UPON ORDER BY OWNER"
"754","PETIT THEFT 1ST OFF"
"755","USE ANTISHOPLIFTING CNTRL DVC"
"756","COUNTERMEASURE"
"757","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"758","WITHOUT PRESCRIPTION"
"759","DOMV////BATTERY TOUCH OR STRIKE"
"760","MARIJUANA-POSSESS NOT MORE THAN 20"
"761","GRAMS"
"762","LARC RETAIL THEFT 300 DOLS MORE 1ST"
"763","OFF"
"764","FTA/FAIL TO REGISTER MOTOR VEHICLE"
"765","DAMAGE PROP-CRIM MISCH OVER 200"
"766","DOLLARS UNDER 1000 DOLLARS"
"767","MOVING TRAFFIC VIOL OPERATE MOTOR"
"768","VEHICLE WO VALID LICENSE"
"769","DAMAGE PROP-CRIM MISCH OVER 200"
"770","DOLLARS UNDER 1000 DOLLARS"
"771","BURGLARY UNOCCUPIED CONVEYANCE"
"772","UNARMED"
"773","GRAND THEFT IS $300 OR MORE BUT LESS"
"774","THAN $5000"
"775","BURGL TOOLS-POSSESS WITH INTENT TO"
"776","USE"
"777","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"778","VEHICLE WO VALID LICENSE"
"779","PETIT THEFT 1ST OFF"
"780","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"781","WITHOUT PRESCRIPTION"
"782","MARIJUANA-POSSESS NOT MORE THAN 20"
"783","GRAMS"
"784","NARCOTIC EQUIP-POSSESS AND OR USE"
"785","SMUGGLE CONTRABAND INTRODUCE INTO"
"786","DETENTION FACILITY"
"787","COCAINE-POSSESS POSSESS COCAINE"
"788","COCAINE-POSSESS POSSESS COCAINE"
"789","COCAINE-POSSESS POSSESS COCAINE"
"790","WRIT-WHS $1000./60 DAYS LCJ.DORCALOCA-"
"791","JOHNSON"
"792","AGGRAV BATTERY PERSON USES A DEADLY"
"793","WEAPON"
"794","GRAND THEFT IS $300 OR MORE BUT LESS"
"795","THAN $5000"
"796","POSSESSION OF WEAPON OR AMMO BY"
"797","CONVICTED FLORIDA FELON"
"798","ALTER IDENTIFICATION ON WEAP REMOVE"
"799","SERIAL NUMBER FROM FIREARM"
"800","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"801","NARCOTIC EQUIP-POSSESS AND OR USE"
"802","PETIT THEFT 1ST OFF"
"803","FTA/FRAUD FAIL REDELIVER HIRED LEASED"
"804","PROP UND 300 DOLS"
"805","HIT AND RUN ACC-UNATTENDED VEH OR"
"806","PROP WO LEAVING ID"
"807","MOVING TRAFFIC VIOL OPERATE MOTOR"
"808","VEHICLE WO VALID LICENSE"
"809","TRESPASSING FAIL TO LEAVE PROPERTY"
"810","UPON ORDER BY OWNER"
"811","PETIT THEFT THIRD OR SUBSQ OFF"
"812","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"813","SUSP HABITUTAL"
"814","VOP/POSSESSION OF PARAPHERNALIA"
"815","FTA/ATTACHING IMPROPER LICENSE PLATE"
"816","VOP/POSSESSION OF CANNABIS WITH"
"817","INTENT TO SELL"
"818","MARIJUANA-POSSESS POSSESS MARIJUANA"
"819","OVER 20 GRAMS"
"820","NARCOTIC EQUIP-POSSESS AND OR USE"
"821","SMUGGLE CONTRABAND INTRODUCE INTO"
"822","DETENTION FACILITY"
"823","DUI ALCOHOL OR DRUGS"
"824","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"825","PERSON UNDER 18 IN VEHICLE"
"826","MARIJUANA-POSSESS NOT MORE THAN 20"
"827","GRAMS"
"828","PETIT THEFT THIRD OR SUBSQ OFF"
"829","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"830","WITHOUT PRESCRIPTION"
"831","MARIJUANA-POSSESS NOT MORE THAN 20"
"832","GRAMS"
"833","TRESPASSING OCCUPIED STRUCTURE OR"
"834","CONVEYANCE"
"835","BATTERY TOUCH OR STRIKE"
"836","PETIT THEFT 1ST OFF"
"837","VOP/FTA/DRIVING WHILE LICENSE REVOKED"
"838","(HABITUAL OFFENDER)"
"839","MARIJUANA-POSSESS NOT MORE THAN 20"
"840","GRAMS"
"841","DOMV/ BATTERY TOUCH OR STRIKE"
"842","GRAND THEFT IS $300 OR MORE BUT LESS"
"843","THAN $5000"
"844","HOLD FOR GADSDEN CO/ SCHEME TO"
"845","DEFRAUD"
"846","HOLD FOR GADSDEN CO/ PETIT THEFT 3RD"
"847","SUBSQU"
"848","HOLD FOR GADSDEN CO/ RAWOV"
"849","STOLEN PROP-DEAL IN"
"850","PETIT THEFT THIRD OR SUBSQ OFF"
"851","FRAUD-SWINDLE OBTAIN PROPERTY UNDER"
"852","20000 DOLLARS"
"853","OUT-OF-GRADY CO, GEORGIA STATE-FUG-"
"854","REF FUGITIVE FROM JUSTICE/ CASE # 18-1-"
"855","A/CHARGE CRIMINAL TRESPASS (FAMILY"
"856","VIOLENCE)"
"857","PUBLIC ORDER CRIMES USE OF FALSE ID"
"858","ADVERSELY AFFECTS ANOTHER"
"859","MARIJUANA-POSSESS NOT MORE THAN 20"
"860","GRAMS"
"861","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"862","SUSP 1ST OFF"
"863","AGGRAVATED ASSAULT WITH DEADLY"
"864","WEAPON"
"865","FELONY BATTERY"
"866","BURGLARY OF CONVEYANCE"
"867","BATTERY ON LAW ENFORCEMENT OFFICER"
"868","RESISTING OFFICER WITH VIOLENCE"
"869","GRAND THEFT 3RD DEGREE DWEL PROP 100"
"870","TO UND 300 DOLS"
"871","STOLEN PROP-DEAL IN"
"872","VOP/PETIT THEFT"
"873","DOMV/ BATTERY CAUSE BODILY HARM"
"874","TRESPASSING STRUCTURE OR CONVEYANCE"
"875","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"876","SUSP HABITUTAL"
"877","VOP/FELONY BATTERY (GREAT BODILY"
"878","HARM)"
"879","BATTERY"
"880","VOP/TRESPASS ON PROPERTY"
"881","DRUGS-POSSESS POSSESSION OF A"
"882","CONTROLLED SUBSTANCE"
"883","MARIJUANA-POSSESS NOT MORE THAN 20"
"884","GRAMS"
"885","NARCOTIC EQUIP-POSSESS AND OR USE"
"886","DUI ALCOHOL OR DRUGS"
"887","MARIJUANA-POSSESS NOT MORE THAN 20"
"888","GRAMS"
"889","NARCOTIC EQUIP-POSSESS AND OR USE"
"890","TRESPASS ON PROPERTY AFTER WARNING"
"891","CARRYING CONCEALED WEAPON"
"892","UNLICENSED FIREARM"
"893","MARIJUANA-POSSESS NOT MORE THAN 20"
"894","GRAMS"
"895","NARCOTIC EQUIP-POSSESS AND OR USE"
"896","HOLD(HILLSBOROUGH CO SO)ORDER TO"
"897","TRANSPORT CASE#2014CF002587"
"898","HOLD FOR DOC/NWFRC-"
"899","ANNEX/HILLSBOROUGH CO SO"
"900","TRESPASSING PROPERTY NOT STRUCTURE"
"901","OR CONVEY"
"902","ARMED ROBBERY WITH DEADLY WEAPON"
"903","FTA/PETIT THEFT (VALUE GREATER THAN"
"904","$100)"
"905","FRAUD-SWINDLE DEFRAUD FINANCIAL"
"906","INSTITUTION"
"907","GRAND THEFT IS $300 OR MORE BUT LESS"
"908","THAN $5000"
"909","FRAUD CASH DEPOSIT BANK ITEM W INTENT"
"910","TO DEFRAUD"
"911","FTA/DRIVING WHILE LICENSE SUSPENDED"
"912","OR REVOKED"
"913","TRESPASSING ARMED STRUCTURE OR"
"914","CONVEYANCE"
"915","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"916","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"917","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"918","TRESPASSING FAIL TO LEAVE PROPERTY"
"919","UPON ORDER BY OWNER"
"920","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"921","SUSP 3RD OR SUBSQ OFF"
"922","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"923","WITHOUT PRESCRIPTION"
"924","NARCOTIC EQUIP-POSSESS AND OR USE"
"925","TAMPERING WITH PHYSICAL EVIDENCE"
"926","POSSESSION OF CONTROLLED SUBSTANCE"
"927","RESISTING OFFICER WITHOUT VIOLENCE"
"928","NARCOTIC EQUIP-POSSESS AND OR USE"
"929","VOP/AGGRAVATED ASSAULT ON EMERGENCY"
"930","MEDICAL CARE PROVIDER"
"931","VOP/BURGLARY OF STRUCTURE"
"932","DUI ALCOHOL OR DRUGS"
"933","MARIJUANA-POSSESS WITH INTENT TO SELL"
"934","MFG OR DELIVER SCHEDULE I"
"935","NARCOTIC EQUIP-POSSESS AND OR USE"
"936","GRAND THEFT OF FIREARM"
"937","BURGL WITH ASSAULT OR BATTERY"
"938","AGGRAV BATTERY PERSON USES A DEADLY"
"939","WEAPON"
"940","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"941","SUSP 3RD OR SUBSQ OFF"
"942","VOP/DRIVING WHILE LICENSE SUSPENDED"
"943","OR REVOKED"
"944","GRAND THEFT IS $300 OR MORE BUT LESS"
"945","THAN $5000"
"946","GRAND THEFT IS $300 OR MORE BUT LESS"
"947","THAN $5000"
"948","FAMILY OFFENSE INTERFERE W CUSTODY OF"
"949","MINOR INCOMP PERSON"
"950","DOMV/BURGL WITH ASSAULT OR BATTERY"
"951","RESIST OFFICER WITH VIOLENCE"
"952","DOMV/BATTERY TOUCH OR STRIKE"
"953","CARRYING CONCEALED WEAPON"
"954","UNLICENSED FIREARM"
"955","WEAPON OFFENSE USE DISPLAY ETC"
"956","FIREARM DURING FELONY"
"957","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"958","WITHOUT PRESCRIPTION"
"959","NARCOTIC EQUIP-POSSESS AND OR USE"
"960","OUT-OF-WAKULLA COUNTY WARRANT/ CASE"
"961","# 16-144 MM/ VOP-POSS OF CANNABIS LESS"
"962","THAN 20 GRAMS"
"963","OUT-OF-WAKULLA COUNTY WARRANT/ CASE"
"964","# 16-144 MM/ VOP- POSS OR USE OF DRUG"
"965","PARAPHERNALIA"
"966","COLLEGE HAZING CAUSE INJURY OR DEATH"
"967","COLLEGE HAZING CAUSE INJURY OR DEATH"
"968","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"969","PERSON UNDER 18 IN VEHICLE"
"970","MARIJUANA-POSSESS NOT MORE THAN 20"
"971","GRAMS"
"972","NARCOTIC EQUIP-POSSESS AND OR USE"
"973","VOP/SALE OR POSSESSION OF CANNABIS"
"974","WITH INTENT TO SELL WITHIN 1,000 FEET"
"975","OF COLLEGE"
"976","VOP/SALE OR POSSESSION OF ALPRAZOLAM"
"977","WITH INTENT TO SELL WITHIN 1,000 FEET"
"978","OF SCHOOL"
"979","HOLD LEE CO SO/ ORDER TO TRANSPORT/"
"980","CASE # 15CF019504C"
"981","HOLD FOR DOC CALHOUN CI/ DOC # 294706"
"982","VOP/RESISTING A MERCHANT"
"983","VOP/PETIT THEFT"
"984","GRAND THEFT IS $300 OR MORE BUT LESS"
"985","THAN $5000"
"986","RESIST OFFICER IN RECOVERY OF STOLEN"
"987","PROPERTY"
"988","GRAND THEFT IS $300 OR MORE BUT LESS"
"989","THAN $5000"
"990","STOLEN PROP-DEAL IN"
"991","FRAUD FALSE OWNER INFO PAWNED ITEMS"
"992","$300 OR MORE"
"993","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"994","WHILE LICE SUSPENDED REVOKED"
"995","COLLEGE HAZING CAUSE INJURY OR DEATH"
"996","FTA/PASSING WORTHLESS BANK CHECK"
"997","WRIT-WHS $1200 OR 90 DAYS LCJ"
"998","DOR/RUFF/FRANCIS"
"999","MANSLAUGHTER BY DRIVING UNDER THE"
"1000","INFLUENCE - FAILING TO RENDER AID"
"1001","VOP/POSSESSION OF MORE THAN 20 GRAMS"
"1002","OF CANNABIS"
"1003","HOLD FOR PINELLAS CO SO/ ORDER TO"
"1004","TRANSPORT/ CASE # 9912129CFANO-A"
"1005","DOC HOLD/ GULF CI/ DOC # U02076"
"1006","NARCOTIC EQUIP-POSSESS AND OR USE"
"1007","FTA/POSSESSION OF FIREARM BY"
"1008","CONVICTED FELON"
"1009","FTA/POSSESSION OF FIREARM PROHIBITED"
"1010","WHEN PERSON SUBJECT TO INJUNCTION"
"1011","FTA/POSSESSION OF DRUG PARAPHERNALIA"
"1012","HOLD FOR HILLSBOROUGH CO SO/ ORDER"
"1013","TO TRANSPORT/ CASE # 08CF16948"
"1014","HOLD FOR DOC/ GULF CI/ DOC # 561967"
"1015","VOP/FTA/DRIVING UNDER THE INFLUENCE"
"1016","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"1017","WITHOUT PRESCRIPTION"
"1018","NARCOTIC EQUIP-POSSESS AND OR USE"
"1019","MARIJUANA-POSSESS NOT MORE THAN 20"
"1020","GRAMS"
"1021","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1022","VOP/POSSESSION OF PARAPHERNALIA"
"1023","VOP/POSSESSION OF CANNABIS"
"1024","VOP/TRESPASS"
"1025","ASSAULT"
"1026","CRIMINAL MISCHIEF (OVER $200 UNDER"
"1027","$1000 DAMAGES)"
"1028","TRESPASSING FAIL TO LEAVE PROPERTY"
"1029","UPON ORDER BY OWNER"
"1030","VOP/AGGRAVATED BATTERY CAUSING GREAT"
"1031","BODILY HARM W/DEADLY WEAPON"
"1032","VOP/AGGRAVATED ASSAULT WITH FIREARM"
"1033","VOP/POSSESSION OF FIREARM BY"
"1034","DELINQUENT"
"1035","VOP/BURGLARY OF DWELLING"
"1036","VOP/GRAND THEFT"
"1037","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"1038","WITHOUT PRESCRIPTION"
"1039","MARIJUANA-POSSESS POSSESS MARIJUANA"
"1040","OVER 20 GRAMS"
"1041","MARIJUANA-POSSESS WITH INTENT TO SELL"
"1042","MFG OR DELIVER SCHEDULE I"
"1043","NARCOTIC EQUIP-POSSESS AND OR USE"
"1044","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"1045","OUT-OF-COUNTY WARRANT/HOLD FOR"
"1046","WAKULLA COUNTY SO, VOP POSSESSION OF"
"1047","COCAINE"
"1048","VOP/FTA/POSSESSION OF CANNABIS"
"1049","DRIVING UNDER THE INFLUENCE"
"1050","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1051","VOP/POSSESSION OF COCAINE"
"1052","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1053","DRIVING UNDER THE INFUENCE"
"1054","SUBSEQUENT CONVICTIONS"
"1055","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"1056","SUSP 3RD OR SUBSQ OFF"
"1057","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1058","POSSESSION OF COCAINE WITH INTENT TO"
"1059","SELL WITHIN 1,000 FEET OF A COLLEGE"
"1060","POSSESSION OF FIREARM BY CONVICTED"
"1061","FELON"
"1062","GRAND THEFT OF FIREARM"
"1063","POSSESSION OF PARAPHERNALIA"
"1064","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1065","COLLEGE HAZING CAUSE INJURY OR DEATH"
"1066","POSSESSION OF PARAPHERNALIA"
"1067","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"1068","SUSP 3RD OR SUBSQ OFF"
"1069","DUI UNLAW BLD ALCH DUI ALCOHOL OR"
"1070","DRUGS 3RD VIOL WI 10 YEARS"
"1071","REFUSE TO SUBMIT TO DUI TEST"
"1072","HIT AND RUN LEAVE SCENE OF CRASH"
"1073","INVOLVE DAMAGE TO PROP-MORE THAN $50"
"1074","DAMAGE"
"1075","COCAINE-SELL SCHEDULE II"
"1076","POSSESSION OF CANNABIS"
"1077","NARCOTIC EQUIP-POSSESS AND OR USE"
"1078","COCAINE-POSSESS POSSESS COCAINE"
"1079","HALLUCINOGEN-MFG WI 200FT COLLEGE OR"
"1080","PUB PARK SCHED II"
"1081","SALE OR POSSESSION OF COCAINE WITH"
"1082","INTENT TO SELL OR DELIVER"
"1083","SALE OR POSSESSION OF MDMA WITH"
"1084","INTENT TO SELL OR DELIVER"
"1085","GRAND THEFT"
"1086","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"1087","PERSON UNDER 18 IN VEHICLE"
"1088","HOLD FOR GADSDEN CF/ DOC # 361405( EOS"
"1089","01/19/18)"
"1090","FTA/PETIT THEFT"
"1091","HOLD/(COLLIER CO SO) ORDER TO"
"1092","TRANSPORT/ CASE # 16DR3114"
"1093","HOLD FOR DOC/ GADSDEN CF/ DOC #"
"1094","Y51309"
"1095","GRAND THEFT OF MOTOR VEHICLE"
"1096","HOLD FOR DOC/ BAY CF/ DOC # N30028"
"1097","GRAND THEFT OF MOTOR VEHICLE"
"1098","HOLD FOR DOC/ BAY CF/ DOC # N30028"
"1099","FTA/BURGLARY OF DWELLING WITH PERSON"
"1100","ASSAULTED"
"1101","CARRYING CONCEALED WEAPON"
"1102","UNLICENSED FIREARM"
"1103","MARIJUANA-POSSESS NOT MORE THAN 20"
"1104","GRAMS"
"1105","NARCOTIC EQUIP-POSSESS AND OR USE"
"1106","NONMOVING TRAFFIC VIOL EXPIRED MTR"
"1107","VEH REGISTRATION OVER 6 MOS"
"1108","NARCOTIC EQUIP-POSSESS AND OR USE"
"1109","DRUGS-POSSESS POSSESS"
"1110","METHAMPHETAMINE"
"1111","HOLD AND RETURN TO WAKULLA CO JAIL/"
"1112","FOR ICE HOLD AFTER COURT COMPLETED"
"1113","VOP/POSSESSION OF DILAUDID WITH"
"1114","INTENT TO SELL OR DELIVER"
"1115","VOP/POSSESSION OF OXYCODONE WITH"
"1116","INTENT TO SELL OR DELIVER"
"1117","VOP/POSSESSION OF PARAPHERNALIA"
"1118","VOP/POSSESSION OF"
"1119","PYRROLIDINOVALEROPHENONE (PVP)"
"1120","VOP/POSSESSION OF CANNABIS"
"1121","SALE OF HEROIN"
"1122","SALE OF HYDROMORPHONE"
"1123","SALE OF OXYCODONE"
"1124","HOLD AND RETURN TO WAKULLA CO JAIL/"
"1125","FOR ICE HOLD AFTER COURT COMPLETED"
"1126","VOP/POSSESSION OF DILAUDID WITH"
"1127","INTENT TO SELL OR DELIVER"
"1128","VOP/POSSESSION OF OXYCODONE WITH"
"1129","INTENT TO SELL OR DELIVER"
"1130","VOP/POSSESSION OF PARAPHERNALIA"
"1131","VOP/POSSESSION OF"
"1132","PYRROLIDINOVALEROPHENONE (PVP)"
"1133","VOP/POSSESSION OF CANNABIS"
"1134","SALE OF HEROIN"
"1135","SALE OF HYDROMORPHONE"
"1136","SALE OF OXYCODONE"
"1137","VOP/MOVING TRAFFIC VIOL OPERATE"
"1138","MOTOR VEHICLE WO VALID LICENSE"
"1139","VOP/DRIVING UNDER THE INFLUENCE"
"1140","VOP/GIVING FALSE NAME OR"
"1141","IDENTIFICATION TO OFFICER"
"1142","HOLD GADSDEN CO SO//UTTERING FALSE"
"1143","BANK BILL// CASE# 17508CFMA//"
"1144","HOLD GADSDEN CO SO//EXPLOITATION OF"
"1145","THE ELDERLY // CASE# 17508CFMA//"
"1146","HOLD GADSDEN CO SO//GRAND THEFT//"
"1147","CASE# 17508CFMA//"
"1148","COCAINE-POSSESS POSSESS COCAINE"
"1149","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"1150","SEXUAL BATTERY BY FAMILIAL OR"
"1151","CUSTODIAL AUTHORITY"
"1152","LEWD OR LASCIVIOUS BATTERY"
"1153","MOVING TRAFFIC VIOL OPERATE MOTOR"
"1154","VEHICLE WO VALID LICENSE"
"1155","DUI AND DAMAGE PROPERTY OR PERSON OF"
"1156","ANOTHER"
"1157","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"1158","SUSP 2ND OFF"
"1159","COCAINE-POSSESS POSSESS COCAINE"
"1160","NARCOTIC EQUIP-POSSESS AND OR USE"
"1161","FAIL TO REGISTER AS CAREER OFFENDER"
"1162","BURGLARY UNOCCUPIED CONVEYANCE"
"1163","UNARMED"
"1164","GRAND THEFT IS $300 OR MORE BUT LESS"
